coverage,served_error_rate
0.9800,0.1586
0.9600,0.1607
0.9400,0.1600
0.9200,0.1597
0.9000,0.1607
0.8800,0.1602
0.8600,0.1592
0.8400,0.1601
0.8201,0.1604
0.8001,0.1594
0.7801,0.1584
0.7601,0.1590
0.7401,0.1598
0.7201,0.1597
0.7001,0.1599
0.6801,0.1590
0.6601,0.1577
0.6401,0.1580
0.6201,0.1585
0.6001,0.1590
0.5801,0.1590
0.5601,0.1591
0.5401,0.1610
0.5201,0.1625
0.5000,0.1625
0.4800,0.1610
0.4600,0.1611
0.4400,0.1610
0.4200,0.1601
0.4000,0.1585
0.3800,0.1567
0.3600,0.1563
0.3400,0.1567
0.3201,0.1580
0.3001,0.1585
0.2801,0.1591
0.2601,0.1554
0.2401,0.1535
0.2201,0.1551
0.2001,0.1506
0.1801,0.1570
0.1601,0.1561
0.1401,0.1560
0.1201,0.1593
0.1001,0.1641
0.0801,0.1676
0.0601,0.1805
0.0401,0.1957
0.0201,0.1773
